id,segment,start_sec,end_sec,score
p59ZDdxszkk,87,502.86,508.64,0.14548156532015719
p59ZDdxszkk,88,508.64,514.42,0.17781022434314464
p59ZDdxszkk,89,514.42,520.2,0.22345729117435761
p59ZDdxszkk,90,520.2,525.98,0.31737956118081734
p59ZDdxszkk,91,525.98,531.76,0.42275399690196486
p59ZDdxszkk,92,531.76,537.54,0.2885449805053743
p59ZDdxszkk,93,537.54,543.32,0.17998547821877572
p59ZDdxszkk,94,543.32,549.1,0.19920122522285333
p59ZDdxszkk,95,549.1,554.88,0.19224538773327213
p59ZDdxszkk,96,554.88,560.66,0.21762742644411753
p59ZDdxszkk,97,560.66,566.44,0.3059857709232439
p59ZDdxszkk,98,566.44,572.22,0.42345243443086084
p59ZDdxszkk,99,572.22,578.0,0.2422226963422754
8AcQ8C9xa-A,0,0.0,5.2,0.9573942335992762
8AcQ8C9xa-A,1,5.2,10.4,0.22254706096634408
8AcQ8C9xa-A,2,10.4,15.6,0.14929762283060435
8AcQ8C9xa-A,3,15.6,20.8,0.11895175428776733
8AcQ8C9xa-A,4,20.8,26.0,0.09593704083829985
8AcQ8C9xa-A,5,26.0,31.2,0.08102105214505836
8AcQ8C9xa-A,6,31.2,36.4,0.07232994964001194
8AcQ8C9xa-A,7,36.4,41.6,0.06956583404063833
8AcQ8C9xa-A,8,41.6,46.8,0.08683213487855573
8AcQ8C9xa-A,9,46.8,52.0,0.11867901145713991
8AcQ8C9xa-A,10,52.0,57.2,0.10117915343062224
8AcQ8C9xa-A,11,57.2,62.4,0.12583005481089277
8AcQ8C9xa-A,12,62.4,67.6,0.12448525123733133
8AcQ8C9xa-A,13,67.6,72.8,0.1598452292057374
8AcQ8C9xa-A,14,72.8,78.0,0.17256420828811883
8AcQ8C9xa-A,15,78.0,83.2,0.19544408776776656
8AcQ8C9xa-A,16,83.2,88.4,0.21686773731167855
8AcQ8C9xa-A,17,88.4,93.6,0.21608598471414037
8AcQ8C9xa-A,18,93.6,98.8,0.25330973098259196
8AcQ8C9xa-A,19,98.8,104.0,0.3192342022430753
8AcQ8C9xa-A,20,104.0,109.2,0.5633913856736793
8AcQ8C9xa-A,21,109.2,114.4,0.2767829875506312
8AcQ8C9xa-A,22,114.4,119.6,0.24937440862399302
8AcQ8C9xa-A,23,119.6,124.8,0.2735999757083612
8AcQ8C9xa-A,24,124.8,130.0,0.3770124032454321
8AcQ8C9xa-A,25,130.0,135.2,0.7629031506390056
8AcQ8C9xa-A,26,135.2,140.4,1.0
8AcQ8C9xa-A,27,140.4,145.6,0.7667134018066715
8AcQ8C9xa-A,28,145.6,150.8,0.4093775527000281
8AcQ8C9xa-A,29,150.8,156.0,0.30225092590252617
8AcQ8C9xa-A,30,156.0,161.2,0.2908895880635807
8AcQ8C9xa-A,31,161.2,166.4,0.28920965980847463
8AcQ8C9xa-A,32,166.4,171.6,0.2243100112781236
8AcQ8C9xa-A,33,171.6,176.8,0.2135708391944439
8AcQ8C9xa-A,34,176.8,182.0,0.22424905156428834
8AcQ8C9xa-A,35,182.0,187.2,0.2655934592456351
8AcQ8C9xa-A,36,187.2,192.4,0.29603657121596466
8AcQ8C9xa-A,37,192.4,197.6,0.2689787989149094
8AcQ8C9xa-A,38,197.6,202.8,0.24062757371979077
8AcQ8C9xa-A,39,202.8,208.0,0.21508326276298365
8AcQ8C9xa-A,40,208.0,213.2,0.260176961898161
8AcQ8C9xa-A,41,213.2,218.4,0.2872114418999828
8AcQ8C9xa-A,42,218.4,223.6,0.239342230850708
8AcQ8C9xa-A,43,223.6,228.8,0.1308452404483076
8AcQ8C9xa-A,44,228.8,234.0,0.06534287484818926
8AcQ8C9xa-A,45,234.0,239.2,0.1040116084822021
8AcQ8C9xa-A,46,239.2,244.4,0.14475758472309597
8AcQ8C9xa-A,47,244.4,249.6,0.1332462690762153
8AcQ8C9xa-A,48,249.6,254.8,0.07132044371061316
8AcQ8C9xa-A,49,254.8,260.0,0.03782619428525744
8AcQ8C9xa-A,50,260.0,265.2,0.037638010956797495
8AcQ8C9xa-A,51,265.2,270.4,0.06164618324832061
8AcQ8C9xa-A,52,270.4,275.6,0.05422921947831976
8AcQ8C9xa-A,53,275.6,280.8,0.07887085774948921
8AcQ8C9xa-A,54,280.8,286.0,0.3619937900654692
8AcQ8C9xa-A,55,286.0,291.2,0.07368695668718163
8AcQ8C9xa-A,56,291.2,296.4,0.08034976500626077
8AcQ8C9xa-A,57,296.4,301.6,0.09460503649847557
8AcQ8C9xa-A,58,301.6,306.8,0.08005674711318184
8AcQ8C9xa-A,59,306.8,312.0,0.09055319498950357
8AcQ8C9xa-A,60,312.0,317.2,0.05920702597216282
